seq,cam_view,start_frame,end_frame,url,gait_event,dataset,gait_pat,title,uploader,fps,start_time,end_time,duration,checksum,width,height
cljar878f00c03n6ly2v2ay88,right side,1,194,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:00.017,00:00:03.233,3.217,c76a8fa9cb6a9b930e8a6e37a8b9e5cf04e24769959a7a3017deb186c6376a28,1920,1080
cljar9bqo00c43n6l2u5zmlru,left side,234,428,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:03.900,00:00:07.133,3.233,0b10705478575ed1cbe1dfd8dd292fe3c091a8c76b3a77cd49d862ac74b42172,1920,1080
cljar9t8o00c83n6ltculhoct,right side,460,1100,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:07.667,00:00:18.333,10.667,643f6070b428b2abc13554ae9bd9dd70279c912163700aa61b6a6b005b751c53,1920,1080
cljarar9t00cc3n6lqhi9udoc,left side,1246,2009,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:20.767,00:00:33.483,12.717,4fdc5445a2ac1d2e896f0045323f39c6f5d7685b1ef28c62067c032d9d8fda56,1920,1080
cljarbn1y00cg3n6l1u4i0d5l,front,2026,2177,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:33.767,00:00:36.283,2.517,539315273ebebc4c0b2998da2a1f438a167d42cb1e7fdf0add636900be8217b0,1920,1080
cljarcfa700ck3n6lfww83ig1,back,2246,2403,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:37.433,00:00:40.050,2.617,4d36ab48db1ff2b85144c17b8aafa02dcccd7d4ecf17db06c3e6f9c4f4f45bee,1920,1080
cljarcy3g00co3n6lzsn1x034,front,2416,3100,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:40.267,00:00:51.667,11.4,ac94347689f417fce5c70c7474c8f77bbe418034d546bb8dd8fe2d1deb553abb,1920,1080
cljardvzg00cs3n6loetskba6,back,3353,3891,https://www.youtube.com/watch?v=wRntYsztIEY,nan,Abnormal Gait,cerebral palsy,Gait Dystonia - Case Study 24,Mission Gait,60.0,00:00:55.883,00:01:04.850,8.967,42c2de10407abdc2891a7ad6a6ebf0a048be3b6791ee78262f8525acca0ca3e6,1920,1080
cljartjkn00e63n6lh194w640,right side,1,206,https://www.youtube.com/watch?v=0CdEPm-VYwA,nan,Abnormal Gait,abnormal,Brain Injury Gait - Case Study 23,Mission Gait,60.0,00:00:00.017,00:00:03.433,3.417,6e09d13d1c6c64ba24a8775a5444433496a889d88d5a9b4b64e4a28bfa5436c9,1920,1080
cljaruc8p00ea3n6lpgcgdo3d,left side,251,421,https://www.youtube.com/watch?v=0CdEPm-VYwA,nan,Abnormal Gait,abnormal,Brain Injury Gait - Case Study 23,Mission Gait,60.0,00:00:04.183,00:00:07.017,2.833,880e3e1ebd44c4f1373ae3b275026ebb4b0c58012b11e787c9193f40ba98538e,1920,1080
cljaruue100ee3n6l6kv3vv1h,right side,452,932,https://www.youtube.com/watch?v=0CdEPm-VYwA,nan,Abnormal Gait,abnormal,Brain Injury Gait - Case Study 23,Mission Gait,60.0,00:00:07.533,00:00:15.533,8.0,e324a491a02c30324b943008cfc91d273effb0d70e7a9127eba10d716859bfe3,1920,1080
