seq,cam_view,start_frame,end_frame,url,gait_event,dataset,gait_pat,title,uploader,fps,start_time,end_time,duration,checksum,width,height
cljvw0vgp000i3n6lf0ykyacv,front,1,524,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:00:00.017,00:00:08.733,8.717,a7a0197d7773ff92cc7a4b4bda9763c88e720326206d7c4c60a782e751b5f82e,1920,1080
cljvw26w6000m3n6l6z38a9xm,back,2278,3414,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:00:37.967,00:00:56.900,18.933,901ae459f44a2579c8ebcd17172f228904fe76aedb9a93e6c06163a39c6c2a91,1920,1080
cljvw2pll000q3n6ljsxpln23,front,3425,3790,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:00:57.083,00:01:03.167,6.083,3474e2e5cce8dc0e0b8e7bd1790be7178b4785df893455e89e515b2ce3fbd161,1920,1080
cljvw3sad000u3n6lb57uns3y,back,3888,4257,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:01:04.800,00:01:10.950,6.15,ef7840bc40d0e55759797af8c7223e3ee6193ee69c6d7dbcc5436b31fbf52ff7,1920,1080
cljvw49xy000y3n6lgej0434g,front,4278,4958,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:01:11.300,00:01:22.633,11.333,5fbcc4f8328fb86d29fb780d48d375dd9ac2306a087e06ba1e0ebf9424a7f5f0,1920,1080
cljvw53pm00113n6l61zxh9f3,back,5312,6359,https://www.youtube.com/watch?v=42Nu-u7LRJE,nan,Abnormal Gait,abnormal,Transverse Myelitis Gait - Case Study 10 (Anterior-Posterior),Mission Gait,60.0,00:01:28.533,00:01:45.983,17.45,9389fb5da6199d413fcd3972e72c3c6c94c0be9019481f0678e74a779ae94ca6,1920,1080
cljw4a7sh00263n6l26jwdqpf,back,1,453,https://www.youtube.com/watch?v=BGMTJ8NJAxA,nan,Abnormal Gait,prosthetic,Case Study 3 - Ant-Post View,Mission Gait,60.0,00:00:00.017,00:00:07.550,7.533,f5a4cbdb28918b9920f03f062e53d02099408fb7cd7c31cfded9518d9860ac99,1920,1080
cljw4az3t002a3n6l7j3i4lee,front,506,914,https://www.youtube.com/watch?v=BGMTJ8NJAxA,nan,Abnormal Gait,prosthetic,Case Study 3 - Ant-Post View,Mission Gait,60.0,00:00:08.433,00:00:15.233,6.8,58a909e2b8cdb81a3b7906412e303429274d7d1eeeeb461ef3cf60be9f5faf4c,1920,1080
cljw4bg4q002e3n6lkugx2mrd,back,932,1920,https://www.youtube.com/watch?v=BGMTJ8NJAxA,nan,Abnormal Gait,prosthetic,Case Study 3 - Ant-Post View,Mission Gait,60.0,00:00:15.533,00:00:32.000,16.467,954d961ebb5569a8703d654c535ac6a3e8b145227c43107e1eb3200b54d7e159,1920,1080
cljw4bvwa002i3n6l11cwtwxq,front,1982,3014,https://www.youtube.com/watch?v=BGMTJ8NJAxA,nan,Abnormal Gait,prosthetic,Case Study 3 - Ant-Post View,Mission Gait,60.0,00:00:33.033,00:00:50.233,17.2,237cff5ee35dbb1c36bfca59588a9e805005c092a5618479ca2dc89f4a2aae7d,1920,1080
