frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,0.40403446555137634,0.07603029161691666,-0.1048220545053482,0.9999704360961914,775,82
0,0,1,0.41177234053611755,0.0565841905772686,-0.1257219761610031,0.9999593496322632,790,61
0,0,2,0.41433149576187134,0.05696925148367882,-0.12594160437583923,0.9999755620956421,795,61
0,0,3,0.41646721959114075,0.05737105756998062,-0.12589052319526672,0.9999735355377197,799,61
0,0,4,0.4112361967563629,0.05519016832113266,-0.09214644134044647,0.999962329864502,789,59
0,0,5,0.413213312625885,0.05486930161714554,-0.09239906817674637,0.9999760389328003,793,59
0,0,6,0.4154771566390991,0.05439816787838936,-0.09245417267084122,0.9999663829803467,797,58
0,0,7,0.43139541149139404,0.06661658734083176,-0.17042623460292816,0.9999939203262329,828,71
0,0,8,0.43120384216308594,0.06800975650548935,-0.01827460713684559,0.9999638795852661,827,73
0,0,9,0.409957617521286,0.09813734889030457,-0.11427834630012512,0.9999836683273315,787,105
0,0,10,0.4096905589103699,0.09856870025396347,-0.07223762571811676,0.9999685287475586,786,106
0,0,11,0.45528581738471985,0.18096210062503815,-0.22270484268665314,0.9999982118606567,874,195
0,0,12,0.45021989941596985,0.1881045401096344,0.10857602208852768,0.9999165534973145,864,203
0,0,13,0.49794843792915344,0.3312087655067444,-0.2717781364917755,0.9998784065246582,956,357
0,0,14,0.4275912642478943,0.337188184261322,0.1365101933479309,0.17839966714382172,820,364
0,0,15,0.5209060311317444,0.4700988829135895,-0.2965587377548218,0.9998279809951782,1000,507
0,0,16,0.38521045446395874,0.39483773708343506,0.03281298279762268,0.910385012626648,739,426
0,0,17,0.534711480140686,0.5010017156600952,-0.3242800533771515,0.9996485710144043,1026,541
0,0,18,0.3678451180458069,0.4093570411205292,0.020873062312602997,0.9367873072624207,706,442
0,0,19,0.5331663489341736,0.5071201920509338,-0.3375801742076874,0.9996659755706787,1023,547
0,0,20,0.36458620429039,0.40397942066192627,-0.013841650448739529,0.9444348216056824,700,436
0,0,21,0.5257365107536316,0.49893397092819214,-0.3005763590335846,0.9994857311248779,1009,538
0,0,22,0.37221431732177734,0.398237019777298,0.012822327204048634,0.9411154389381409,714,430
0,0,23,0.4370113015174866,0.48636218905448914,-0.10293961316347122,0.9999948740005493,839,525
0,0,24,0.456285297870636,0.48329415917396545,0.10274703055620193,0.9999845027923584,876,521
0,0,25,0.4062061309814453,0.6835678815841675,-0.08052773028612137,0.9994868040084839,779,738
0,0,26,0.4818519651889801,0.6748905181884766,0.12990984320640564,0.9897228479385376,925,728
0,0,27,0.3892017602920532,0.9023491144180298,0.018621524795889854,0.9994866847991943,747,974
0,0,28,0.5558971166610718,0.8259588479995728,0.21726568043231964,0.9966334700584412,1067,892
0,0,29,0.4064664840698242,0.943469226360321,0.022982977330684662,0.9977655410766602,780,1018
0,0,30,0.5804720520973206,0.8332502245903015,0.22405561804771423,0.9960466027259827,1114,899
0,0,31,0.33483582735061646,0.9469311237335205,-0.053187333047389984,0.9993522763252258,642,1022
0,0,32,0.543452799320221,0.9108978509902954,0.18145522475242615,0.9973804354667664,1043,983
1,16,0,0.40357068181037903,0.078936368227005,-0.1025279238820076,0.999968409538269,774,85
1,16,1,0.4112932085990906,0.0597841739654541,-0.12312828004360199,0.9999555349349976,789,64
1,16,2,0.41361871361732483,0.059761837124824524,-0.12332783639431,0.9999728202819824,794,64
1,16,3,0.415890634059906,0.059535056352615356,-0.12325406819581985,0.9999693036079407,798,64
1,16,4,0.4110427796840668,0.059024959802627563,-0.09200967848300934,0.9999605417251587,789,63
1,16,5,0.4130253195762634,0.058685027062892914,-0.09227076172828674,0.999975323677063,793,63
1,16,6,0.41542962193489075,0.058028049767017365,-0.09233348816633224,0.9999659061431885,797,62
1,16,7,0.4312659502029419,0.06759487837553024,-0.16552893817424774,0.9999926090240479,828,73
1,16,8,0.431147038936615,0.06910539418458939,-0.02615627460181713,0.9999638795852661,827,74
1,16,9,0.4097464978694916,0.1005682423710823,-0.11044345051050186,0.9999776482582092,786,108
1,16,10,0.40964746475219727,0.10070480406284332,-0.07202895730733871,0.9999621510505676,786,108
1,16,11,0.45531901717185974,0.1804596483707428,-0.19578558206558228,0.9999975562095642,874,194
1,16,12,0.4495629668235779,0.1881527304649353,0.07998357713222504,0.9999116659164429,863,203
1,16,13,0.4966605305671692,0.33107730746269226,-0.23649795353412628,0.9997938871383667,953,357
