frame,timestamp_ms,landmark_id,x_norm,y_norm,z_norm,visibility,x_px,y_px
0,0,0,0.515256941318512,0.06799924373626709,-0.14009332656860352,0.9998127818107605,989,73
0,0,1,0.5094401240348816,0.05172964930534363,-0.13310682773590088,0.9995735287666321,978,55
0,0,2,0.5082076191902161,0.05172107368707657,-0.13334593176841736,0.9994935989379883,975,55
0,0,3,0.5070993900299072,0.051742732524871826,-0.13328172266483307,0.9996240139007568,973,55
0,0,4,0.5088832378387451,0.05209040269255638,-0.16390691697597504,0.9998416900634766,977,56
0,0,5,0.5074095129966736,0.05234948545694351,-0.16418464481830597,0.9999066591262817,974,56
0,0,6,0.505993664264679,0.05242495238780975,-0.1642710566520691,0.9999421834945679,971,56
0,0,7,0.493630588054657,0.05808601900935173,-0.0778924748301506,0.999779999256134,947,62
0,0,8,0.4933210611343384,0.05850067362189293,-0.217306986451149,0.9999282360076904,947,63
0,0,9,0.5094510316848755,0.08689095824956894,-0.11250362545251846,0.9998844861984253,978,93
0,0,10,0.5086991786956787,0.08638520538806915,-0.15436580777168274,0.9999529123306274,976,93
0,0,11,0.4748711884021759,0.1701955944299698,0.03425230830907822,0.9999738931655884,911,183
0,0,12,0.46144360303878784,0.16085727512836456,-0.26611658930778503,0.9999992847442627,885,173
0,0,13,0.45776939392089844,0.32813215255737305,0.10065105557441711,0.033873531967401505,878,354
0,0,14,0.43934565782546997,0.3209310472011566,-0.30190861225128174,0.9993370175361633,843,346
0,0,15,0.4739844501018524,0.4612887501716614,0.05932623893022537,0.05066016688942909,910,498
0,0,16,0.4476985037326813,0.4705490469932556,-0.31290870904922485,0.999745786190033,859,508
0,0,17,0.47964733839035034,0.492313027381897,0.05395276099443436,0.09889654070138931,920,531
0,0,18,0.44743409752845764,0.5072334408760071,-0.3506280481815338,0.9994858503341675,859,547
0,0,19,0.48664742708206177,0.49105873703956604,0.021224327385425568,0.10904733836650848,934,530
0,0,20,0.45908546447753906,0.5060840249061584,-0.35509437322616577,0.9994832277297974,881,546
0,0,21,0.4841243326663971,0.48203152418136597,0.04457886144518852,0.10022875666618347,929,520
0,0,22,0.4612128436565399,0.49585914611816406,-0.3150187134742737,0.9987082481384277,885,535
0,0,23,0.46686381101608276,0.44592949748039246,0.09893143177032471,0.99998939037323,896,481
0,0,24,0.45327556133270264,0.4444159269332886,-0.09911248087882996,0.9999978542327881,870,479
0,0,25,0.48335620760917664,0.6165629625320435,0.21603427827358246,0.23877198994159698,928,665
0,0,26,0.46786749362945557,0.637495756149292,0.0009855047101154923,0.9352700114250183,898,688
0,0,27,0.42576584219932556,0.7716346383094788,0.35908588767051697,0.5545844435691833,817,833
0,0,28,0.44271132349967957,0.8290873765945435,0.10154041647911072,0.9786499738693237,850,895
0,0,29,0.4067883789539337,0.7912898659706116,0.3683730661869049,0.6904500722885132,781,854
0,0,30,0.42753875255584717,0.8592822551727295,0.10734709352254868,0.9005892872810364,820,928
0,0,31,0.4524383842945099,0.8121548295021057,0.31086111068725586,0.7695263028144836,868,877
0,0,32,0.48859474062919617,0.8675845861434937,0.009204707108438015,0.9661721587181091,938,936
1,16,0,0.5147709250450134,0.06799402087926865,-0.14103102684020996,0.9997977018356323,988,73
1,16,1,0.5088136196136475,0.05172700807452202,-0.13394370675086975,0.999546468257904,976,55
1,16,2,0.5074303150177002,0.051720816642045975,-0.1341879963874817,0.9994604587554932,974,55
1,16,3,0.5060967803001404,0.051743462681770325,-0.13411755859851837,0.999596118927002,971,55
1,16,4,0.5084969997406006,0.052087828516960144,-0.16466853022575378,0.9998304843902588,976,56
1,16,5,0.507050633430481,0.05234548822045326,-0.1649552881717682,0.9998998641967773,973,56
1,16,6,0.5056474208831787,0.05241502448916435,-0.16505220532417297,0.999938428401947,970,56
1,16,7,0.4928789436817169,0.05809969827532768,-0.07843851298093796,0.9997546672821045,946,62
1,16,8,0.4929232597351074,0.05847035348415375,-0.21756507456302643,0.9999222159385681,946,63
1,16,9,0.5086687207221985,0.08723113685846329,-0.11323576420545578,0.9998658895492554,976,94
1,16,10,0.5082992315292358,0.08661966770887375,-0.15504024922847748,0.9999461770057678,975,93
1,16,11,0.47392112016677856,0.1702287197113037,0.033346474170684814,0.9999700784683228,909,183
1,16,12,0.4613332748413086,0.16114434599876404,-0.26699212193489075,0.9999992251396179,885,174
1,16,13,0.45608219504356384,0.3285193145275116,0.09791817516088486,0.03248339146375656,875,354
1,16,14,0.4387234151363373,0.32090041041374207,-0.29971393942832947,0.9993070960044861,842,346
1,16,15,0.4676092863082886,0.46108943223953247,0.054278478026390076,0.04769256338477135,897,497
1,16,16,0.44786199927330017,0.47007498145103455,-0.29676923155784607,0.99971604347229,859,507
1,16,17,0.470955491065979,0.49186190962791443,0.04990040510892868,0.09335621446371078,904,531
1,16,18,0.4472452998161316,0.5071634650230408,-0.33151301741600037,0.9994185566902161,858,547
1,16,19,0.477401465177536,0.49126359820365906,0.017383655533194542,0.10283278673887253,916,530
1,16,20,0.4593019485473633,0.5060973167419434,-0.3337133228778839,0.9994128942489624,881,546
1,16,21,0.4784959852695465,0.4820457100868225,0.0397353358566761,0.09456191956996918,918,520
1,16,22,0.4618309438228607,0.4958280324935913,-0.2973495125770569,0.9985494017601013,886,535
1,16,23,0.46689698100090027,0.4460221827030182,0.09889180958271027,0.9999886155128479,896,481
1,16,24,0.4532715976238251,0.4445579946041107,-0.0990719124674797,0.9999976754188538,870,480
1,16,25,0.4845726191997528,0.6165068745613098,0.21076683700084686,0.24197140336036682,930,665
1,16,26,0.4662382900714874,0.6384910941123962,0.0009881240548565984,0.9337376356124878,895,689
1,16,27,0.42673832178115845,0.7716334462165833,0.3483074903488159,0.5552840232849121,819,833
1,16,28,0.44158807396888733,0.8299760818481445,0.10147852450609207,0.9784877300262451,847,896
1,16,29,0.40716710686683655,0.7896196246147156,0.35717904567718506,0.6896204948425293,781,852
1,16,30,0.4265502691268921,0.860420286655426,0.10730909556150436,0.9003686308860779,818,929
1,16,31,0.44925448298454285,0.812461793422699,0.2990454137325287,0.7668908834457397,862,877
1,16,32,0.487726092338562,0.8676571249961853,0.009206073358654976,0.9655128121376038,936,937
2,33,0,0.5138388276100159,0.06794966012239456,-0.13758587837219238,0.9997282028198242,986,73
2,33,1,0.5078193545341492,0.05170067399740219,-0.1290474236011505,0.9994001984596252,975,55
2,33,2,0.5064086318016052,0.051706429570913315,-0.1292918175458908,0.9992678165435791,972,55
2,33,3,0.5050151348114014,0.051735494285821915,-0.1292102187871933,0.999454140663147,969,55
2,33,4,0.5076297521591187,0.05205212160944939,-0.16067972779273987,0.9997758269309998,974,56
2,33,5,0.5062342882156372,0.052306950092315674,-0.1609800159931183,0.999866783618927,971,56
2,33,6,0.5048719644546509,0.052363861352205276,-0.16109922528266907,0.9999212026596069,969,56
2,33,7,0.4919503629207611,0.058102063834667206,-0.06800640374422073,0.9996196031570435,944,62
2,33,8,0.49225670099258423,0.058402169495821,-0.21181289851665497,0.9998939037322998,945,63
2,33,9,0.5075520277023315,0.0873703584074974,-0.10815606266260147,0.9997962117195129,974,94
