seq,cam_view,start_frame,end_frame,url,gait_event,dataset,gait_pat
cljan9b4p00043n6ligceanyp,right side,1757,2268,https://www.youtube.com/watch?v=B5hrxKe2nP8,,Abnormal Gait,parkinsons
cljanb45y00083n6lmh1qhydd,left side,2532,2746,https://www.youtube.com/watch?v=B5hrxKe2nP8,,Abnormal Gait,parkinsons
cljao8kyf000d3n6l0x9kgmav,right side,1,148,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaoak47000i3n6lsrb9rit9,left side,205,355,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaob36l000m3n6l9xokjqww,right side,382,813,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaobtd0000q3n6lutd71mer,left side,852,1342,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaocn4e000u3n6lgnrx469h,front,1346,1524,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaodqnu000y3n6ltaisg7tz,back,1579,1756,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaoebv700113n6lw01p9hl3,front,1788,2157,https://www.youtube.com/watch?v=TgkxrrhnvlM,Right initial contact,Abnormal Gait,abnormal
cljaof3ba00153n6lcr8af6bi,back,2185,2693,https://www.youtube.com/watch?v=TgkxrrhnvlM,,Abnormal Gait,abnormal
cljaokm0f001e3n6lirgzoymg,front,38,150,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaolsgy001i3n6li20nkrgp,back,195,313,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaommx0001m3n6lfb2cuqgv,front,350,463,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaonfdz001q3n6l4qtxtuut,back,842,945,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoo2cn001u3n6lf7xqjrze,front,1312,1399,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaop6jn00203n6lk46gbf4c,back,1477,1574,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoq8tp00243n6lav1phi0c,front,1615,1726,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoshr200283n6lp3zsekp0,back,1785,1875,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaot782002c3n6liew6rbtf,front,1926,2021,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaotzi6002g3n6ljofm5j6d,back,2104,2202,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaouueo002k3n6l57zl7081,front,2248,2352,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaovpji002o3n6lgugwrc6j,back,2424,2528,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaowoxy002s3n6lm5b9d3pg,front,2571,2667,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaox711002w3n6lwjtc0qb3,back,2754,2862,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoxl8100303n6ll1waw5n0,front,2901,3000,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoxzmr00343n6lfoaxldb1,back,3083,3183,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoyfcy00383n6lmftrl6rf,front,3226,3342,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaoyz1c003c3n6l84cbjwg9,back,3395,3506,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaozfe5003g3n6lc5wkcomq,front,3549,3653,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljaozwlh003k3n6lzk9rxqbs,back,3709,3807,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap0c1m003o3n6lgmq5uhwn,back,3855,3937,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap0sgs003s3n6lkyvcdzkd,back,3994,4084,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap1efc003z3n6l5ghozcy9,front,4129,4228,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap2na700433n6lwob4q16g,back,4271,4395,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap357k00473n6lpfwcjp1e,front,4437,4565,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap3krs004b3n6ldjwuf1cm,back,4604,4685,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap4083004f3n6ldx98aixq,front,4725,4820,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap4p9j004j3n6lj39g6r9m,back,4891,4960,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap548n004n3n6l909fckn8,front,5002,5082,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap5o8u004r3n6llsoy3aww,back,5191,5224,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljap626d004v3n6ldyysleyr,front,5269,5307,https://www.youtube.com/watch?v=5SBtTbfELUU,,Abnormal Gait,abnormal
cljapao5600503n6lhrbr4zii,left side,1,306,https://www.youtube.com/watch?v=0gAHlm79Bjo,,Abnormal Gait,abnormal
cljapbtwe00543n6lsdbwbhhi,right side,367,659,https://www.youtube.com/watch?v=0gAHlm79Bjo,,Abnormal Gait,abnormal
cljapdtb500593n6leoif0c32,front,122,339,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapf2uw005d3n6lyasg3pn2,back,665,831,https://www.youtube.com/watch?v=jzkn287X-84,Right initial contact,Abnormal Gait,style
cljapfx0p005h3n6lkhemkjqe,front,942,1114,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapgo97005l3n6lbcz5g88s,back,1396,1544,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaphipu005p3n6lde8gqkl7,front,1651,1834,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapigcs005t3n6lrszkuyo2,back,2161,2342,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapjdrt005x3n6lpw9b8d9p,front,2460,2661,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapkbp500613n6lnp0i73x0,back,2951,3125,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapl0g800653n6lqbg2u3dy,front,3241,3413,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljaplu8s00693n6ln0wqsmw9,back,3723,3920,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
cljapmoo4006d3n6lxdm4mgtx,front,3976,4130,https://www.youtube.com/watch?v=jzkn287X-84,,Abnormal Gait,style
